timestamp,fundingRate
2025-12-25T00:00:00+00:00,-0.005
2025-12-25T08:00:00+00:00,-0.005
2025-12-25T16:00:00+00:00,-0.005
2025-12-26T00:00:00+00:00,-0.005
2025-12-26T08:00:00+00:00,0.005
2025-12-26T16:00:00+00:00,0.005
2025-12-27T00:00:00+00:00,0.005
2025-12-27T08:00:00+00:00,-0.005
2025-12-27T16:00:00+00:00,-0.005
2025-12-28T00:00:00+00:00,-0.005
2025-12-28T08:00:00+00:00,-0.005
2025-12-28T16:00:00+00:00,0.005
2025-12-29T00:00:00+00:00,0.005
2025-12-29T08:00:00+00:00,0.005
2025-12-29T16:00:00+00:00,0.005
2025-12-30T00:00:00+00:00,0.005
2025-12-30T08:00:00+00:00,0.005
2025-12-30T16:00:00+00:00,0.005
2025-12-31T00:00:00+00:00,0.005
2025-12-31T08:00:00+00:00,0.005
2025-12-31T16:00:00+00:00,0.005
2026-01-01T00:00:00+00:00,0.005
2026-01-01T08:00:00+00:00,0.005
2026-01-01T16:00:00+00:00,0.005
2026-01-02T00:00:00+00:00,0.005
2026-01-02T08:00:00+00:00,0.005
2026-01-02T16:00:00+00:00,0.005
2026-01-03T00:00:00+00:00,0.005
2026-01-03T08:00:00+00:00,0.005
2026-01-03T16:00:00+00:00,0.005
2026-01-04T00:00:00+00:00,0.005
2026-01-04T08:00:00+00:00,0.005
2026-01-04T16:00:00+00:00,0.005
2026-01-05T00:00:00+00:00,0.005
2026-01-05T08:00:00+00:00,0.005
2026-01-05T16:00:00+00:00,0.005
2026-01-06T00:00:00+00:00,0.005
2026-01-06T08:00:00+00:00,0.005
2026-01-06T16:00:00+00:00,0.00357497
2026-01-07T00:00:00+00:00,-0.005
2026-01-07T08:00:00+00:00,0.00314673
2026-01-07T16:00:00+00:00,-0.005
2026-01-08T00:00:00+00:00,-0.005
2026-01-08T08:00:00+00:00,-0.005
2026-01-08T16:00:00+00:00,-0.005
2026-01-09T00:00:00+00:00,-0.00286684
2026-01-09T08:00:00+00:00,0.0001
2026-01-09T16:00:00+00:00,0.005
2026-01-10T00:00:00+00:00,0.005
2026-01-10T08:00:00+00:00,-0.005
2026-01-10T16:00:00+00:00,-0.005
2026-01-11T00:00:00+00:00,0.00037211
